1,move,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,the cow moves in the field,target,138694658,F1_Verb_IntransitivePP_1,,M3_Verb_IntransitivePP_1,,,8,4,1,
,,P1,the cow moos in the field,mp,138875060,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the cow stands in the field,assoc,375813928,,,,,,,,,
,,S2,the cow sniffs in the field,un,4114507999,,,,,,,,,
,,Un,the cow rests in the field,un,152862614,,,,,,,,,
,,Un,the cow grazes in the field,un,13624052929,,,,,,,,,
,,,,,,,,,,,,,,
3,run,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,the man runs in the sunshine,target,98478128,F1_Verb_IntransitivePP_3,,M3_Verb_IntransitivePP_3,,,8,6,1,
,,P1,the man drums in the sunshine,distant,278138576,,,,,,,,,
,,P2,the man strums in the sunshine,distant,252976438,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the man stretches in the sunshine,coord,40277707,,,,,,,,,
,,S2,the man walks in the sunshine,coord,46941883,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,the man cycles in the sunshine,un,1280937,,,,,,,,,
,,,,,,,,,,,,,,
4,cycle,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,the girl cycles in the park,target,301827464,F1_Verb_IntransitivePP_4,,M3_Verb_IntransitivePP_4,,,4,7,2,
,,P1,the girl recycles in the park,close,195090890,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the girl skates in the park,coord,161112296,,,,,,,,,
,,S2,the girl skateboards in the park,coord,142829050,,,,,,,,,
,,Un,the girl swings in the park,un,49071878,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
